no,,flip,flip
not,,flip,flip
ultimately,RB,,maximize
purely,RB,positive,median
purer,JJR,positive,high
pure,JJ,positive,median
true,JJ,positive,median
genuine,JJ,positive,high
genuinely,RB,positive,high
really,RB,,increase
absolutely,RB,,maximize
completely,RB,,maximize
immensely,RB,,maximize
incredibly,RB,,maximize
hugely,RB,,maximize
incomparably,RB,,maximize
perfectly,RB,,maximize
prodigiously,RB,,maximize
profoundly,RB,,maximize
supremely,RB,,maximize
surpassingly,RB,,maximize
terrifically,RB,,maximize
tremendously,RB,,maximize
utterly,RB,,maximize
wholly,RB,,maximize
terribly,RB,,maximize
unmistakably,RB,,maximize
unbelievably,RB,,maximize
staggeringly,RB,,maximize
such,RB,,increase
rather,RB,,increase
very,RB,,increase
greatly,RB,,increase
extremely,RB,,increase
amazingly,RB,,increase
deliriously,RB,,increase
more,RB,,increase
quite,RB,,increase
far,RB,,increase
mostly,RB,,increase
definitely,RB,,increase
surprisingly,RB,,increase
entirely,RB,,increase
highly,RB,,increase
fully,RB,,increase
largely,RB,,increase
entertained,JJ,positive,median
thoroughly,RB,,increase
remarkably,RB,,increase
strongly,RB,,increase
notably,RB,,increase
altogether,RB,,increase
exceedingly,RB,,increase
totally,RB,,increase
strikingly,RB,positive,median
exceptionally,RB,,increase
specially,RB,positive,median
positively,RB,,increase
considerably,RB,,increase
vastly,RB,,increase
unusually,RB,,increase
peculiarly,,,increase
peculiarly,RB,negative,median
intensely,RB,,increase
extraordinarily,RB,,increase
excessively,RB,,increase
emphatically,RB,,increase
comprehensively,RB,,increase
significantly,RB,,increase
pretty,RB,,increase
pretty,JJ,positive,median
mightily,RB,,increase
inordinately,RB,,increase
astonishingly,RB,,increase
substantially,RB,,increase
reasonably,RB,,increase
moderately,RB,,decrease
enormously,RB,,increase
acutely,RB,,increase
somewhat,RB,,decrease
relatively,RB,,decrease
fairly,RB,,decrease
slightly,RB,,decrease
hardly,RB,,decrease
barely,RB,,decrease
mildly,RB,,decrease
partly,RB,,decrease
passably,RB,,decrease
scarcely,RB,,decrease
tolerably,RB,,decrease
partially,RB,,decrease
imperceptibly,RB,,decrease
accommodating,JJ,positive,median
adaptable,JJ,positive,median
brave,JJ,positive,median
braver,JJR,positive,high
careful,JJ,positive,median
cautious,JJ,positive,median
circumspect,JJ,positive,median
conscientious,JJ,positive,median
considerate,JJ,positive,median
constant,JJ,positive,median
courageous,JJ,positive,high
dauntless,JJ,positive,high
dependable,JJ,positive,median
devoted,JJ,positive,median
exact,JJ,positive,median
faithful,JJ,positive,median
fearless,JJ,positive,high
firm,JJ,positive,median
flexible,JJ,positive,median
flexible,RB,positive,median
gallant,JJ,positive,high
gutsy,JJ,positive,high
heroic,JJ,positive,high
honest,JJ,positive,median
honorable,JJ,positive,median
indefatigable,JJ,positive,median
loyal,JJ,positive,median
meticulous,JJ,positive,median
patient,JJ,positive,median
